,city_norm,item_id,item_name,category,qty_sold
0,agra,10000197,Organic India Tulsi Classic Green Tea Bags,"Tea, Coffee & Health Drinks",353.0
1,agra,10000197,Organic India Tulsi Classic Green Tea Bags(Pack),"Tea, Coffee & Health Drinks",260.0
2,agra,10000197,Organic India Tulsi Classic Green Tea Bags(Pack),"Tea, Coffee & Milk Drinks",111.0
3,agra,10000295,Tata Tea Gold,"Tea, Coffee & Health Drinks",1576.0
4,agra,10000295,Tata Tea Gold(Pack),"Tea, Coffee & Health Drinks",934.0
5,agra,10000295,Tata Tea Gold(Pack),"Tea, Coffee & Milk Drinks",613.0
6,agra,10000296,Tetley Immune with Added Vitamin C Green Tea (100 g),"Tea, Coffee & Health Drinks",116.0
7,agra,10000296,Tetley Immune with Added Vitamin C Green Tea (100 g)(Pack),"Tea, Coffee & Health Drinks",115.0
8,agra,10000296,Tetley Immune with Added Vitamin C Green Tea (100 g)(Pack),"Tea, Coffee & Milk Drinks",55.0
9,agra,10000867,Tata Tea Premium Tea,"Tea, Coffee & Health Drinks",4831.0
10,agra,10000867,Tata Tea Premium Tea(Pack),"Tea, Coffee & Health Drinks",2328.0
11,agra,10000867,Tata Tea Premium Tea(Pack),"Tea, Coffee & Milk Drinks",1576.0
12,agra,10002072,Organic India Tulsi Original Tea Bags,"Tea, Coffee & Health Drinks",21.0
13,agra,10002072,Organic India Tulsi Original Tea Bags(Pack),"Tea, Coffee & Health Drinks",18.0
14,agra,10002072,Organic India Tulsi Original Tea Bags(Pack),"Tea, Coffee & Milk Drinks",9.0
15,agra,10002610,Tata Tea Agni Special Blend Tea(Pouch),"Tea, Coffee & Health Drinks",1642.0
16,agra,10002610,Tata Tea Agni Special Blend Tea(Pouch),"Tea, Coffee & Milk Drinks",234.0
17,agra,10004348,Organic India Tulsi Ginger Tea Bags,"Tea, Coffee & Health Drinks",90.0
18,agra,10004348,Organic India Tulsi Ginger Tea Bags(Pack),"Tea, Coffee & Health Drinks",75.0
19,agra,10004348,Organic India Tulsi Ginger Tea Bags(Pack),"Tea, Coffee & Milk Drinks",31.0
20,agra,10004350,Organic India Tulsi Honey Chamomile Tea Bags(Pack),"Tea, Coffee & Health Drinks",49.0
21,agra,10004350,Organic India Tulsi Honey Chamomile Tea Bags(Pack),"Tea, Coffee & Milk Drinks",108.0
22,agra,10004351,Organic India Lemon Ginger Tulsi Green Tea Bags,"Tea, Coffee & Health Drinks",599.0
23,agra,10004351,Organic India Lemon Ginger Tulsi Green Tea Bags(Pack),"Tea, Coffee & Health Drinks",297.0
24,agra,10004351,Organic India Lemon Ginger Tulsi Green Tea Bags(Pack),"Tea, Coffee & Milk Drinks",132.0
25,agra,10004352,Organic India Tulsi Sweet Rose Green Tea Bags(Pack),"Tea, Coffee & Milk Drinks",2.0
26,agra,10004353,Organic India Tulsi Mulethi Tea Bags(Pack),"Tea, Coffee & Health Drinks",7.0
27,agra,10004353,Organic India Tulsi Mulethi Tea Bags(Pack),"Tea, Coffee & Milk Drinks",27.0
28,agra,10005131,Tata Tea Premium Tea(Pouch),"Tea, Coffee & Health Drinks",1740.0
29,agra,10005131,Tata Tea Premium Tea(Pouch),"Tea, Coffee & Milk Drinks",520.0
30,agra,10005305,Tata Tea Premium Tea Bags,"Tea, Coffee & Health Drinks",233.0
31,agra,10005305,Tata Tea Premium Tea Bags(Pack),"Tea, Coffee & Health Drinks",116.0
32,agra,10005305,Tata Tea Premium Tea Bags(Pack),"Tea, Coffee & Milk Drinks",81.0
33,agra,10005887,Tetley Lemon & Honey Green Tea Bags,"Tea, Coffee & Health Drinks",13.0
34,agra,10005887,Tetley Lemon & Honey Green Tea Bags (Immune with added Vitamin C),"Tea, Coffee & Health Drinks",44.0
35,agra,10005887,Tetley Lemon & Honey Green Tea Bags (with added Vitamin C)(Pack),"Tea, Coffee & Health Drinks",34.0
36,agra,10005887,Tetley Lemon & Honey Green Tea Bags (with added Vitamin C)(Pack),"Tea, Coffee & Milk Drinks",13.0
37,agra,10005893,Tetley Original Black Tea - Tea Bags,"Tea, Coffee & Health Drinks",194.0
38,agra,10005893,Tetley Original Black Tea - Tea Bags(Pack),"Tea, Coffee & Health Drinks",103.0
39,agra,10005893,Tetley Original Black Tea - Tea Bags(Pack),"Tea, Coffee & Milk Drinks",55.0
40,agra,10006105,Tata Tea Gold Black Tea(Pouch),"Tea, Coffee & Health Drinks",105.0
41,agra,10006105,Tata Tea Gold(Pouch),"Tea, Coffee & Health Drinks",779.0
42,agra,10006105,Tata Tea Gold(Pouch),"Tea, Coffee & Milk Drinks",143.0
43,agra,10006205,Tata Tea Premium Tea 1 Kg(Pouch),"Tea, Coffee & Health Drinks",478.0
44,agra,10006205,Tata Tea Premium Tea 1 Kg(Pouch),"Tea, Coffee & Milk Drinks",202.0
45,agra,10006205,Tata Tea Premium Tea(Pouch),"Tea, Coffee & Health Drinks",263.0
46,agra,10006207,Tata Tea Gold(Pouch),"Tea, Coffee & Health Drinks",890.0
47,agra,10006207,Tata Tea Gold(Pouch),"Tea, Coffee & Milk Drinks",487.0
48,agra,10006611,Organic India Tulsi Original Green Tea,"Tea, Coffee & Health Drinks",313.0
49,agra,10006611,Organic India Tulsi Original Green Tea (Classic)(Pack),"Tea, Coffee & Milk Drinks",145.0
50,agra,10006611,Organic India Tulsi Original Green Tea(Pack),"Tea, Coffee & Health Drinks",296.0
51,agra,10006611,Organic India Tulsi Original Green Tea(Pack),"Tea, Coffee & Milk Drinks",20.0
52,agra,10007027,Tata Tea Agni Special Blend Tea(Pouch),"Tea, Coffee & Health Drinks",6974.0
53,agra,10007027,Tata Tea Agni Special Blend Tea(Pouch),"Tea, Coffee & Milk Drinks",986.0
54,agra,10007028,Tata Tea Agni Special Blend Tea(Pouch),"Tea, Coffee & Health Drinks",116.0
55,agra,10007028,Tata Tea Agni Strong Tea(Pouch),"Tea, Coffee & Health Drinks",61.0
56,agra,10007028,Tata Tea Agni Strong Tea(Pouch),"Tea, Coffee & Milk Drinks",66.0
57,agra,10007028,Tata Tea Agni Tea(Pouch),"Tea, Coffee & Health Drinks",264.0
58,agra,10007377,Tata Tea Gold(Pouch),"Tea, Coffee & Health Drinks",1767.0
59,agra,10007377,Tata Tea Gold(Pouch),"Tea, Coffee & Milk Drinks",336.0
60,agra,10007924,Tata Tea Premium Tea(Pouch),"Tea, Coffee & Health Drinks",4103.0
61,agra,10007924,Tata Tea Premium Tea(Pouch),"Tea, Coffee & Milk Drinks",902.0
62,agra,10009040,Tetley Classic Green Tea Bags (Immune with added Vitamin C),"Tea, Coffee & Health Drinks",4.0
63,agra,10009040,Tetley Classic Green Tea Bags (Immune with added Vitamin C)(Pack),"Tea, Coffee & Health Drinks",3.0
64,agra,10009040,Tetley Classic Green Tea Bags (Immune with added Vitamin C)(Pack),"Tea, Coffee & Milk Drinks",10.0
65,agra,10011132,"Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with Added Vitamin C)(Pack)","Tea, Coffee & Health Drinks",1.0
66,agra,10011132,"Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with Added Vitamin C)(Packet)","Tea, Coffee & Health Drinks",10.0
67,agra,10011132,"Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with Added Vitamin C)(Packet)","Tea, Coffee & Milk Drinks",8.0
68,agra,10011132,"Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with added Vitamin C)","Tea, Coffee & Health Drinks",28.0
69,agra,10011132,"Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with added Vitamin C)(Pack)","Tea, Coffee & Health Drinks",6.0
70,agra,10015807,Tata Coffee Grand Classic- Instant Coffee(Pouch),"Tea, Coffee & Health Drinks",1145.0
71,agra,10015807,Tata Coffee Grand Classic- Instant Coffee(Pouch),"Tea, Coffee & Milk Drinks",232.0
72,agra,10015808,Tata Coffee Grand Classic Instant Coffee(Jar),"Tea, Coffee & Health Drinks",159.0
73,agra,10015808,Tata Coffee Grand Classic Instant Coffee(Jar),"Tea, Coffee & Milk Drinks",138.0
74,agra,10015808,Tata Coffee Grand Classic- Instant Coffee(Glass Jar),"Tea, Coffee & Health Drinks",241.0
75,agra,10037403,Tetley Classic Green Tea Bags (Immune with added Vitamin C),"Tea, Coffee & Health Drinks",54.0
76,agra,10037403,Tetley Classic Green Tea Bags (Immune with added Vitamin C)(Pack),"Tea, Coffee & Health Drinks",31.0
77,agra,10037403,Tetley Classic Green Tea Bags (Immune with added Vitamin C)(Pack),"Tea, Coffee & Milk Drinks",7.0
78,agra,10037406,Tetley Lemon & Honey Green Tea Bags,"Tea, Coffee & Health Drinks",741.0
79,agra,10037406,Tetley Lemon & Honey Green Tea Bags(Pack),"Tea, Coffee & Health Drinks",379.0
80,agra,10037406,Tetley Lemon & Honey Green Tea Bags(Pack),"Tea, Coffee & Milk Drinks",153.0
81,agra,10037407,"Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with added Vitamin C)","Tea, Coffee & Health Drinks",379.0
82,agra,10037407,"Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with added Vitamin C)(Pack)","Tea, Coffee & Health Drinks",187.0
83,agra,10037407,"Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with added Vitamin C)(Pack)","Tea, Coffee & Milk Drinks",114.0
84,agra,10062514,Tetley Natural Mango Flavour Green Tea - Tea Bags (Immune with added Vitamin C),"Tea, Coffee & Health Drinks",36.0
85,agra,10062514,Tetley Natural Mango Flavour Green Tea - Tea Bags (Immune with added Vitamin C)(Pack),"Tea, Coffee & Health Drinks",19.0
86,agra,10062514,Tetley Natural Mango Flavour Green Tea - Tea Bags (Immune with added Vitamin C)(Pack),"Tea, Coffee & Milk Drinks",3.0
87,agra,10065362,Tata Tea Premium(Pouch),"Tea, Coffee & Health Drinks",944.0
88,agra,10065362,Tata Tea Premium(Pouch),"Tea, Coffee & Milk Drinks",290.0
89,agra,10073508,Tata Tea Gold Tea (1.5 kg)(Pouch),"Tea, Coffee & Health Drinks",358.0
90,agra,10073508,Tata Tea Gold Tea (1.5 kg)(Pouch),"Tea, Coffee & Milk Drinks",29.0
91,agra,10073514,Tata Tea Gold Care(Box),"Tea, Coffee & Health Drinks",1579.0
92,agra,10073514,Tata Tea Gold Care(Box),"Tea, Coffee & Milk Drinks",230.0
93,agra,10073515,Tata Tea Gold Care Tea(Box),"Tea, Coffee & Health Drinks",203.0
94,agra,10073515,Tata Tea Gold Care Tea(Box),"Tea, Coffee & Milk Drinks",45.0
95,agra,10106292,Tata Tea Gold Care Tea(Pouch),"Tea, Coffee & Health Drinks",106.0
96,agra,10106292,Tata Tea Gold Care Tea(Pouch),"Tea, Coffee & Milk Drinks",26.0
97,agra,10110034,Tata Coffee Gold 100% Pure Instant Coffee (Original)(Jar),"Tea, Coffee & Health Drinks",350.0
98,agra,10110034,Tata Coffee Gold 100% Pure Instant Coffee (Original)(Jar),"Tea, Coffee & Milk Drinks",76.0
99,agra,10113337,Tata Coffee Gold 100% Pure Instant Coffee (Original)(Jar),"Tea, Coffee & Health Drinks",28.0
100,agra,10113337,Tata Coffee Gold 100% Pure Instant Coffee (Original)(Jar),"Tea, Coffee & Milk Drinks",30.0
101,agra,10113337,"Tata Coffee Gold 100% Pure Instant Coffee (Original, 100% Pure)(Bottle)","Tea, Coffee & Health Drinks",27.0
102,agra,10113337,"Tata Coffee Gold 100% Pure Instant Coffee (Original, 100% Pure)(Glass Bottle)","Tea, Coffee & Health Drinks",93.0
103,agra,10140052,Organic India Tulsi Honey Lemon Green Tea Bags(Box),"Tea, Coffee & Health Drinks",39.0
104,agra,10140052,Organic India Tulsi Honey Lemon Green Tea Bags(Box),"Tea, Coffee & Milk Drinks",60.0
105,agra,10144355,Tetley Premium Black Leaf Tea (500 g),"Tea, Coffee & Health Drinks",19.0
106,agra,10144355,Tetley Premium Black Leaf Tea (500 g),"Tea, Coffee & Milk Drinks",2.0
107,agra,10144356,Tetley Premium Black Leaf Tea (250 g),"Tea, Coffee & Health Drinks",14.0
108,agra,10144356,Tetley Premium Black Leaf Tea (250 g),"Tea, Coffee & Milk Drinks",1.0
109,agra,10147745,Organic India Premium Speciality Tulsi Tea Green Tea Gift Pack,Cold Drinks & Juices,7.0
110,agra,10156714,Tata Coffee Grand Classic- Instant Coffee(Pouch),"Tea, Coffee & Health Drinks",28.0
111,agra,10156714,Tata Coffee Grand Classic- Instant Coffee(Pouch),"Tea, Coffee & Milk Drinks",27.0
112,agra,10156912,Tata Coffee Gold Hazelnut Flavoured Instant Coffee,"Tea, Coffee & Health Drinks",70.0
113,agra,10156912,Tata Coffee Gold Hazelnut Flavoured Instant Coffee - with Free Mug,"Tea, Coffee & Health Drinks",4.0
114,agra,10156912,Tata Coffee Gold Hazelnut Flavoured Instant Coffee(Bottle),"Tea, Coffee & Health Drinks",109.0
115,agra,10156912,Tata Coffee Gold Hazelnut Flavoured Instant Coffee(Bottle),"Tea, Coffee & Milk Drinks",23.0
116,agra,10156912,Tata Coffee Gold Hazelnut Instant Coffee - with Free Mug,"Tea, Coffee & Health Drinks",65.0
117,agra,10159086,"Tata Tata Tea - Elaichi, 1 Kg Tea","Tea, Coffee & Health Drinks",91.0
118,agra,10159086,Tata Tea Agni Elaichi Tea Leaves,"Tea, Coffee & Health Drinks",193.0
119,agra,10159086,Tata Tea Agni Elaichi Tea Leaves,"Tea, Coffee & Milk Drinks",16.0
120,agra,10159086,Tata Tea Agni Elaichi Tea Leaves(Pack),"Tea, Coffee & Milk Drinks",113.0
121,agra,10159513,Tata Coffee Grand Classic Instant Coffee,"Tea, Coffee & Health Drinks",5.0
122,agra,10159513,Tata Coffee Grand Classic Instant Coffee(Jar),"Tea, Coffee & Health Drinks",66.0
123,agra,10159513,Tata Coffee Grand Classic Instant Coffee(Jar),"Tea, Coffee & Milk Drinks",33.0
124,agra,10159513,Tata Coffee Grand Classic Strong Instant Coffee,"Tea, Coffee & Health Drinks",91.0
125,agra,10159658,Tata Coffee Grand Classic Instant Coffee,"Tea, Coffee & Health Drinks",83.0
126,agra,10159658,Tata Coffee Grand Classic- Instant Coffee,"Tea, Coffee & Health Drinks",2.0
127,agra,10159658,Tata Coffee Grand Classic- Instant Coffee(Pouch),"Tea, Coffee & Health Drinks",96.0
128,agra,10159658,Tata Coffee Grand Classic- Instant Coffee(Pouch),"Tea, Coffee & Milk Drinks",37.0
129,agra,10159659,Tata Coffee Filter Coffee Decoction Liquid Coorg Kaapi,"Tea, Coffee & Health Drinks",96.0
130,agra,10159659,Tata Coffee Filter Coffee Decoction Liquid Coorg Kaapi,"Tea, Coffee & Milk Drinks",49.0
131,agra,10159659,Tata Coffee Filter Coffee Decoction Liquid Coorg Kaapi(Pack),"Tea, Coffee & Milk Drinks",1.0
132,agra,10159659,Tata Coffee Quick Decoction Premix Liquid Coorg Kaapi Filter Coffee,"Tea, Coffee & Health Drinks",127.0
133,agra,10159659,Tata Coffee Quick Filter Coffee,"Tea, Coffee & Health Drinks",19.0
134,agra,10159797,Tata Coffee Grand Premium Instant Coffee,"Tea, Coffee & Health Drinks",238.0
135,agra,10159797,Tata Coffee Grand Premium Instant Coffee(Packet),"Tea, Coffee & Health Drinks",145.0
136,agra,10159797,Tata Coffee Grand Premium Instant Coffee(Packet),"Tea, Coffee & Milk Drinks",46.0
137,agra,10159798,Tata Coffee Grand Premium Instant Coffee(Packet),"Tea, Coffee & Health Drinks",37.0
138,agra,10159798,Tata Coffee Grand Premium Instant Coffee(Packet),"Tea, Coffee & Milk Drinks",63.0
139,agra,10159799,Tata Coffee Grand Premium - Instant Coffee,"Tea, Coffee & Health Drinks",29.0
140,agra,10159799,Tata Coffee Grand Premium - Instant Coffee(Jar),"Tea, Coffee & Health Drinks",38.0
141,agra,10159799,Tata Coffee Grand Premium - Instant Coffee(Jar),"Tea, Coffee & Milk Drinks",20.0
142,agra,10159799,Tata Coffee Grand Premium Instant Coffee (90 g),"Tea, Coffee & Health Drinks",68.0
143,agra,10160080,Tata Tea Gold Vita Care Tea,"Tea, Coffee & Health Drinks",129.0
144,agra,10160080,Tata Tea Gold Vita Care Tea(Pack),"Tea, Coffee & Health Drinks",9.0
145,agra,10160080,Tata Tea Gold Vita Care Tea(Pack),"Tea, Coffee & Milk Drinks",25.0
146,agra,10160081,Tata Tea Gold Vita Care Tea,"Tea, Coffee & Health Drinks",76.0
147,agra,10160081,Tata Tea Gold Vita Care Tea,"Tea, Coffee & Milk Drinks",18.0
148,agra,10160082,Tata Tea Gold Liquid Instant Tea Premix Lemon Honey,"Tea, Coffee & Health Drinks",19.0
149,agra,10160082,Tata Tea Gold Liquid Lemon Honey Instant Tea Premix,"Tea, Coffee & Health Drinks",7.0
150,agra,10160085,Tetley Kahwa Green Tea Bags,"Tea, Coffee & Health Drinks",86.0
151,agra,10160085,Tetley Kahwa Green Tea Bags,"Tea, Coffee & Milk Drinks",2.0
