city_norm,fe_city_name,tcpl_plant_code
bhubaneswar,Bhubaneswar,1213.0
bengaluru,Bengaluru,1438.0
rajkot,Rajkot,1253.0
kanpur,Kanpur,1477.0
delhi,NCR,1214.0
bardhaman,Bardhaman,1430.0
jabalpur,Jabalpur,1225.0
chennai,Chennai,1137.0
bareilly,Bareilly,1477.0
dehradun,Dehradun,1484.0
meerut,NCR,1214.0
mohali,Mohali,1211.0
cuttack,Cuttack,1213.0
rishikesh,Rishikesh,1484.0
raipur,Raipur,1226.0
jalandhar,Jalandhar,1211.0
kakinada,Kakinada,1296.0
kurnool,Kurnool,1483.0
kharar,Kharar,1211.0
pune,Pune,1235.0
jodhpur,Jodhpur,1203.0
goa,Goa,1241.0
ghaziabad,NCR,1214.0
ujjain,Ujjain,1225.0
barabanki,Barabanki,1477.0
bhopal,Bhopal,1225.0
mumbai,Mumbai,1135.0
indore,Indore,1225.0
jamshedpur,Jamshedpur,1265.0
mathura,NCR,1214.0
patna,Patna,1579.0
ahmedabad,Ahmedabad,1253.0
sonipat,NCR,1214.0
gulbarga,Gulbarga,1483.0
prayagraj,Prayagraj,1208.0
varanasi,Varanasi,1208.0
faridabad,NCR,1214.0
kota,Kota,1203.0
gurgaon,NCR,1214.0
lucknow,Lucknow,1477.0
bidar,Bidar,1483.0
vizianagaram,Vizianagaram,1296.0
hubli,Hubli,1241.0
chandigarh,Chandigarh,1211.0
ludhiana,Ludhiana,1211.0
jaipur,Jaipur,1203.0
rewari,NCR,1214.0
rajpura,Rajpura,1521.0
guwahati,Guwahati,1495.0
hyderabad,Hyderabad,1483.0
ranchi,Ranchi,1265.0
mehsana,Mehsana,1253.0
kolkata,Kolkata,1430.0
vizag,Visakhapatnam,1296.0
jind,NCR,1214.0
vijayawada,Vijayawada,1296.0
amritsar,Amritsar,1211.0
rajahmundry,Rajahmundry,1296.0
guntur,Guntur,1296.0
bathinda,Bathinda,1211.0
udaipur,Udaipur,1203.0
hisar,NCR,1214.0
rudrapur,NCR,1214.0
dharwad,Dharwad,1241.0
deoria,Deoria,1208.0
yamunanagar,Yamunanagar,1521.0
nagpur,Nagpur,1226.0
gorakhpur,Gorakhpur,1208.0
phagwara,Phagwara,1211.0
jammu,Jammu,1211.0
kapurthala,Kapurthala,1211.0
durg,Durg,1226.0
bokaro,Bokaro,1265.0
mysore,Mysore,1438.0
surat,Surat,1253.0
muzzaffarnagar,Muzaffarnagar,1484.0
erode,Erode,1437.0
firozpur,Firozpur,1211.0
agra,NCR,1214.0
rohtak,NCR,1214.0
panchkula,Panchkula,1211.0
kharagpur,Kharagpur,1430.0
trivandrum,Trivandrum,1437.0
ballari,Ballari,1438.0
tirupati,Tirupati,1137.0
dewas,Dewas,1225.0
vadodara,Vadodara,1253.0
siliguri,Siliguri,1495.0
khanna,Khanna,1211.0
zirakpur,Zirakpur,1211.0
gwalior,Gwalior,1225.0
thrissur,Thrissur,1437.0
patiala,Patiala,1211.0
sitapur,Sitapur,1477.0
gonda,Gonda,1477.0
manipal,Manipal,1438.0
sikar,Sikar,1203.0
modinagar,NCR,1214.0
puducherry,Puducherry,1137.0
darbhanga,Darbhanga,1579.0
roorkee,Roorkee,1484.0
gaya,Gaya,1579.0
mangaluru,Mangalore,1438.0
navsari,Navsari,1253.0
hapur,NCR,1214.0
haldwani,NCR,1214.0
ajmer,Ajmer,1203.0
hassan,Hassan,1438.0
coimbatore,Coimbatore,1437.0
tumkur,Tumkur,1438.0
rampur,NCR,1214.0
muzaffarpur,Muzaffarpur,1579.0
raebareli,Raebareli,1477.0
kottayam,Kottayam,1437.0
hosur,Hosur,1438.0
kochi,Kochi,1437.0
lonavala,Lonavala,1235.0
bhagalpur,Bhagalpur,1579.0
karnal,NCR,1214.0
unnao,Unnao,1477.0
kozhikode,Kozhikode,1437.0
ayodhya,Ayodhya,1477.0
alwar,Alwar,1203.0
asansol,Asansol,1430.0
satna,Satna,1208.0
bhiwadi,NCR,1214.0
bahadurgarh,NCR,1214.0
dhanbad,Dhanbad,1265.0
batala,Batala,1211.0
moradabad,NCR,1214.0
jaunpur,Jaunpur,1208.0
saharanpur,Saharanpur,1484.0
kurukshetra,Kurukshetra,1211.0
firozabad,NCR,1214.0
nashik,Nashik,1253.0
bikaner,Bikaner,1203.0
begusarai,Begusarai,1579.0
una,Una,1211.0
palwal,NCR,1214.0
ambala,Ambala,1211.0
haridwar,Haridwar,1484.0
durgapur,Durgapur,1430.0
panipat,NCR,1214.0
aligarh,NCR,1214.0
hoshiarpur,Hoshiarpur,1211.0
bhiwani,NCR,1214.0
jhansi,Jhansi,1477.0
anand,Anand,1253.0
hamirpur,Hamirpur,1521.0
gandhidham,Gandhidham,1253.0
sundar nagar,Sundar Nagar,1211.0
