item_id,item_name
10000197,Organic India Tulsi Classic Green Tea Bags
10000197,Organic India Tulsi Classic Green Tea Bags(Pack)
10000295,Tata Tea Gold
10000295,Tata Tea Gold(Pack)
10000296,Tetley Immune with Added Vitamin C Green Tea (100 g)
10000296,Tetley Immune with Added Vitamin C Green Tea (100 g)(Pack)
10000867,Tata Tea Premium Tea
10000867,Tata Tea Premium Tea(Pack)
10002072,Organic India Tulsi Original Tea Bags
10002072,Organic India Tulsi Original Tea Bags(Pack)
10002610,Tata Tea Agni Special Blend Tea(Pouch)
10003268,Organic India Jasmine Tulsi Green Tea Bags
10003268,Organic India Jasmine Tulsi Green Tea Bags(Pack)
10004348,Organic India Tulsi Ginger Tea Bags
10004348,Organic India Tulsi Ginger Tea Bags(Pack)
10004350,Organic India Tulsi Honey Chamomile Tea Bags(Pack)
10004350,Organic India Tulsi Honey Chamomile Tea Bags
10004351,Organic India Lemon Ginger Tulsi Green Tea Bags
10004351,Organic India Lemon Ginger Tulsi Green Tea Bags(Pack)
10004352,Organic India Tulsi Sweet Rose Green Tea Bags(Pack)
10004352,Organic India Tulsi Sweet Rose Green Tea Bags
10004353,Organic India Tulsi Mulethi Tea Bags(Pack)
10004353,Organic India Tulsi Mulethi Tea Bags
10005131,Tata Tea Premium Tea(Pouch)
10005305,Tata Tea Premium Tea Bags
10005305,Tata Tea Premium Tea Bags(Pack)
10005887,Tetley Lemon & Honey Green Tea Bags (Immune with added Vitamin C)
10005887,Tetley Lemon & Honey Green Tea Bags
10005887,Tetley Lemon & Honey Green Tea Bags (with added Vitamin C)(Pack)
10005893,Tetley Original Black Tea - Tea Bags
10005893,Tetley Original Black Tea - Tea Bags(Pack)
10006105,Tata Tea Gold Black Tea(Pouch)
10006105,Tata Tea Gold(Pouch)
10006205,Tata Tea Premium Tea(Pouch)
10006205,Tata Tea Premium Tea 1 Kg(Pouch)
10006207,Tata Tea Gold(Pouch)
10006611,Organic India Tulsi Original Green Tea
10006611,Organic India Tulsi Original Green Tea(Pack)
10006611,Organic India Tulsi Original Green Tea (Classic)(Pack)
10007027,Tata Tea Agni Special Blend Tea(Pouch)
10007028,Tata Tea Agni Special Blend Tea(Pouch)
10007028,Tata Tea Agni Tea(Pouch)
10007028,Tata Tea Agni Strong Tea(Pouch)
10007377,Tata Tea Gold(Pouch)
10007703,Tata Tea Chakra Gold Premium Dust Tea
10007703,Tata Tea Chakra Gold Premium Dust Tea(Pack)
10007924,Tata Tea Premium Tea(Pouch)
10009040,Tetley Classic Green Tea Bags (Immune with added Vitamin C)
10009040,Tetley Classic Green Tea Bags (Immune with added Vitamin C)(Pack)
10010157,Tata Tea Gemini Tea(Carton)
10010626,Organic India Tulsi Chai Masala Tea(Pack)
10010626,Organic India Tulsi Chai Masala Tea
10011053,Tata Gemini Tea(Pouch)
10011100,Tata Tea Chakra Gold Premium Dust Tea (500 g)
10011100,Tata Tea Chakra Gold Premium Dust Tea (500 g)(Pack)
10011100,Tata Tea Chakra Gold Premium Dust Tea
10011132,"Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with added Vitamin C)"
10011132,"Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with added Vitamin C)(Pack)"
10011132,"Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with Added Vitamin C)(Pack)"
10011132,"Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with Added Vitamin C)(Packet)"
