city_norm,item_id,month,forecasted_qty
agra,10000197,2025-12-01,40.76442
ahmedabad,10000197,2025-12-01,106.01692
ajmer,10000197,2025-12-01,9.957655
akola,10000197,2025-12-01,3.9392953
aligarh,10000197,2025-12-01,11.101303
alwar,10000197,2025-12-01,7.0657396
ambala,10000197,2025-12-01,7.5746064
amravati,10000197,2025-12-01,7.4126043
amritsar,10000197,2025-12-01,69.67596
anand,10000197,2025-12-01,6.3711133
ankleshwar,10000197,2025-12-01,10.92094
asansol,10000197,2025-12-01,5.365296
aurangabad,10000197,2025-12-01,5.2111807
ayodhya,10000197,2025-12-01,6.3748536
baddi,10000197,2025-12-01,2.81481
bahadurgarh,10000197,2025-12-01,15.545497
ballari,10000197,2025-12-01,2.4086065
barabanki,10000197,2025-12-01,6.4487
bardhaman,10000197,2025-12-01,5.2111807
bareilly,10000197,2025-12-01,22.163656
batala,10000197,2025-12-01,7.366648
bathinda,10000197,2025-12-01,15.538405
begusarai,10000197,2025-12-01,5.1993084
belgaum,10000197,2025-12-01,5.2111807
bengaluru,10000197,2025-12-01,324.81708
berhampur,10000197,2025-12-01,5.144117
bhagalpur,10000197,2025-12-01,5.1993084
bharuch,10000197,2025-12-01,4.892084
bhavnagar,10000197,2025-12-01,5.045193
bhiwadi,10000197,2025-12-01,10.443796
bhiwani,10000197,2025-12-01,5.2111807
bhopal,10000197,2025-12-01,40.423733
bhubaneswar,10000197,2025-12-01,10.91339
bidar,10000197,2025-12-01,6.232364
bijapur,10000197,2025-12-01,5.2111807
bikaner,10000197,2025-12-01,4.045035
bokaro,10000197,2025-12-01,6.5432415
chandigarh,10000197,2025-12-01,91.514656
chandrapur,10000197,2025-12-01,5.2111807
chennai,10000197,2025-12-01,49.347027
chennai,10000197,2025-12-01,49.189453
coimbatore,10000197,2025-12-01,5.5960083
cuttack,10000197,2025-12-01,5.9343815
darbhanga,10000197,2025-12-01,5.365296
davanagere,10000197,2025-12-01,5.2111807
dehradun,10000197,2025-12-01,69.7023
delhi,10000197,2025-12-01,1735.3488
deoghar,10000197,2025-12-01,2.8526208
deoria,10000197,2025-12-01,2.4086065
dewas,10000197,2025-12-01,5.2111807
dhanbad,10000197,2025-12-01,10.4405365
dharamshala,10000197,2025-12-01,5.2111807
dharwad,10000197,2025-12-01,5.2111807
durg,10000197,2025-12-01,5.9090934
durgapur,10000197,2025-12-01,2.8526208
eluru,10000197,2025-12-01,5.2111807
faridabad,10000197,2025-12-01,128.95457
farrukhabad,10000197,2025-12-01,5.2111807
fatehpur,10000197,2025-12-01,5.2111807
firozabad,10000197,2025-12-01,6.347168
firozpur,10000197,2025-12-01,8.902104
gandhidham,10000197,2025-12-01,2.8560998
ghaziabad,10000197,2025-12-01,270.91855
gonda,10000197,2025-12-01,5.2111807
gorakhpur,10000197,2025-12-01,23.218668
gulbarga,10000197,2025-12-01,5.2111807
guntur,10000197,2025-12-01,5.2111807
gurgaon,10000197,2025-12-01,514.37506
guwahati,10000197,2025-12-01,13.689912
gwalior,10000197,2025-12-01,16.846252
haldwani,10000197,2025-12-01,15.670159
hamirpur,10000197,2025-12-01,5.2111807
hapur,10000197,2025-12-01,4.1534767
haridwar,10000197,2025-12-01,17.249847
hassan,10000197,2025-12-01,5.2111807
hazaribagh,10000197,2025-12-01,5.365296
hisar,10000197,2025-12-01,16.972748
hoshiarpur,10000197,2025-12-01,6.2881403
hosur,10000197,2025-12-01,2.81481
hyderabad,10000197,2025-12-01,215.21696
hyderabad,10000197,2025-12-01,209.56668
indore,10000197,2025-12-01,50.63433
jabalpur,10000197,2025-12-01,17.185112
jaipur,10000197,2025-12-01,129.17365
jalandhar,10000197,2025-12-01,79.32139
jalgaon,10000197,2025-12-01,6.844785
jammu,10000197,2025-12-01,49.612125
jamnagar,10000197,2025-12-01,3.7140546
jamshedpur,10000197,2025-12-01,15.8727
jaunpur,10000197,2025-12-01,4.2924604
jhansi,10000197,2025-12-01,11.4771805
jind,10000197,2025-12-01,5.2111807
jodhpur,10000197,2025-12-01,10.90925
junagadh,10000197,2025-12-01,2.81481
kaithal,10000197,2025-12-01,5.718498
kakinada,10000197,2025-12-01,7.4126043
kanpur,10000197,2025-12-01,108.885124
kapurthala,10000197,2025-12-01,5.2111807
karnal,10000197,2025-12-01,20.051163
khanna,10000197,2025-12-01,3.1679447
kharagpur,10000197,2025-12-01,5.2111807
kharar,10000197,2025-12-01,34.144985
kochi,10000197,2025-12-01,2.9465737
kolhapur,10000197,2025-12-01,5.2111807
kolkata,10000197,2025-12-01,237.32474
kolkata,10000197,2025-12-01,241.9363
kota,10000197,2025-12-01,15.149003
kotdwar,10000197,2025-12-01,5.2111807
kozhikode,10000197,2025-12-01,5.2111807
kurukshetra,10000197,2025-12-01,6.347168
lakhimpur,10000197,2025-12-01,6.9989004
latur,10000197,2025-12-01,5.2111807
lucknow,10000197,2025-12-01,249.54338
ludhiana,10000197,2025-12-01,109.88601
madurai,10000197,2025-12-01,5.144117
manali,10000197,2025-12-01,5.2111807
mangaluru,10000197,2025-12-01,5.3880453
manipal,10000197,2025-12-01,5.2111807
mathura,10000197,2025-12-01,18.455233
meerut,10000197,2025-12-01,52.255173
mehsana,10000197,2025-12-01,2.855346
moga,10000197,2025-12-01,7.8417335
mohali,10000197,2025-12-01,60.510662
moradabad,10000197,2025-12-01,8.177843
morbi,10000197,2025-12-01,2.81481
mumbai,10000197,2025-12-01,41.70298
mumbai,10000197,2025-12-01,43.77875
muzaffarnagar,10000197,2025-12-01,7.3390985
muzaffarpur,10000197,2025-12-01,6.208865
mysore,10000197,2025-12-01,7.156301
nadiad,10000197,2025-12-01,5.2111807
nagpur,10000197,2025-12-01,17.184193
nanded,10000197,2025-12-01,5.2111807
nashik,10000197,2025-12-01,3.8681698
navsari,10000197,2025-12-01,5.045193
nellore,10000197,2025-12-01,5.2111807
noida,10000197,2025-12-01,575.16034
palwal,10000197,2025-12-01,4.127255
panchkula,10000197,2025-12-01,25.60313
panipat,10000197,2025-12-01,21.08874
pathankot,10000197,2025-12-01,11.413939
patiala,10000197,2025-12-01,26.329323
patna,10000197,2025-12-01,42.16723
phagwara,10000197,2025-12-01,6.304286
prayagraj,10000197,2025-12-01,27.006819
pune,10000197,2025-12-01,184.81786
pune,10000197,2025-12-01,177.04085
puri,10000197,2025-12-01,5.144117
purnia,10000197,2025-12-01,5.1993084
raebareli,10000197,2025-12-01,7.052748
raipur,10000197,2025-12-01,23.056658
rajahmundry,10000197,2025-12-01,6.028477
rajkot,10000197,2025-12-01,10.711151
rajpura,10000197,2025-12-01,6.0747504
rampur,10000197,2025-12-01,5.2111807
ranchi,10000197,2025-12-01,24.61547
rewa,10000197,2025-12-01,2.4086065
rewari,10000197,2025-12-01,9.581225
rishikesh,10000197,2025-12-01,6.069549
rohtak,10000197,2025-12-01,22.687159
roorkee,10000197,2025-12-01,10.820231
rudrapur,10000197,2025-12-01,6.9520392
saharanpur,10000197,2025-12-01,8.011096
sangrur,10000197,2025-12-01,6.0975695
satara,10000197,2025-12-01,5.365296
satna,10000197,2025-12-01,2.4086065
shillong,10000197,2025-12-01,6.240739
sikar,10000197,2025-12-01,5.1768208
siliguri,10000197,2025-12-01,8.099705
sirsa,10000197,2025-12-01,7.052748
sitapur,10000197,2025-12-01,5.624382
solan,10000197,2025-12-01,2.5627217
solapur,10000197,2025-12-01,6.232364
sonipat,10000197,2025-12-01,33.171024
sri ganganagar,10000197,2025-12-01,6.886759
sundar nagar,10000197,2025-12-01,2.855346
surat,10000197,2025-12-01,25.499279
tiruchirappalli,10000197,2025-12-01,5.144117
tirupati,10000197,2025-12-01,5.2111807
trivandrum,10000197,2025-12-01,5.2111807
tumkur,10000197,2025-12-01,5.2111807
udaipur,10000197,2025-12-01,13.774268
udupi,10000197,2025-12-01,5.2111807
ujjain,10000197,2025-12-01,5.2111807
una,10000197,2025-12-01,5.624382
unnao,10000197,2025-12-01,3.992266
vadodara,10000197,2025-12-01,28.255491
vapi,10000197,2025-12-01,2.8526208
varanasi,10000197,2025-12-01,22.267092
vijayawada,10000197,2025-12-01,12.316097
vizag,10000197,2025-12-01,12.016491
vizianagaram,10000197,2025-12-01,5.2111807
vrindavan,10000197,2025-12-01,4.70566
warangal,10000197,2025-12-01,5.144117
yamunanagar,10000197,2025-12-01,10.887069
zirakpur,10000197,2025-12-01,51.587738
agra,10000295,2025-12-01,228.68108
ahmedabad,10000295,2025-12-01,695.9712
ahmednagar,10000295,2025-12-01,10.99734
ajmer,10000295,2025-12-01,30.283518
akola,10000295,2025-12-01,11.120507
aligarh,10000295,2025-12-01,105.11967
alwar,10000295,2025-12-01,38.711983
ambala,10000295,2025-12-01,22.171103
amravati,10000295,2025-12-01,19.467968
amritsar,10000295,2025-12-01,154.08803
anand,10000295,2025-12-01,24.913557
ankleshwar,10000295,2025-12-01,13.368287
asansol,10000295,2025-12-01,189.31909
aurangabad,10000295,2025-12-01,25.716166
ayodhya,10000295,2025-12-01,31.522621
baddi,10000295,2025-12-01,13.343801
bahadurgarh,10000295,2025-12-01,34.34038
ballari,10000295,2025-12-01,18.311174
barabanki,10000295,2025-12-01,37.402554
bardhaman,10000295,2025-12-01,136.78558
bareilly,10000295,2025-12-01,142.25754
batala,10000295,2025-12-01,14.124482
bathinda,10000295,2025-12-01,46.68026
begusarai,10000295,2025-12-01,135.36064
belgaum,10000295,2025-12-01,24.913557
bengaluru,10000295,2025-12-01,3022.325
berhampur,10000295,2025-12-01,33.893833
bhagalpur,10000295,2025-12-01,220.3195
bharuch,10000295,2025-12-01,25.257957
bhavnagar,10000295,2025-12-01,22.206367
bhimavaram,10000295,2025-12-01,9.493347
bhiwadi,10000295,2025-12-01,117.60971
bhiwani,10000295,2025-12-01,20.608768
bhopal,10000295,2025-12-01,371.8656
bhubaneswar,10000295,2025-12-01,337.20682
bhuj,10000295,2025-12-01,13.8442545
bidar,10000295,2025-12-01,14.118054
bijapur,10000295,2025-12-01,15.281601
bikaner,10000295,2025-12-01,19.338293
bokaro,10000295,2025-12-01,202.30467
chandigarh,10000295,2025-12-01,261.9552
chandrapur,10000295,2025-12-01,11.601385
chennai,10000295,2025-12-01,467.9986
coimbatore,10000295,2025-12-01,20.440134
cuttack,10000295,2025-12-01,66.58485
darbhanga,10000295,2025-12-01,123.95903
davanagere,10000295,2025-12-01,16.961617
dehradun,10000295,2025-12-01,400.7047
delhi,10000295,2025-12-01,8555.6455
deoghar,10000295,2025-12-01,87.18601
deoria,10000295,2025-12-01,23.68934
dewas,10000295,2025-12-01,9.98899
dhanbad,10000295,2025-12-01,334.00464
dharamshala,10000295,2025-12-01,11.949753
dharwad,10000295,2025-12-01,26.886892
durg,10000295,2025-12-01,63.650574
durgapur,10000295,2025-12-01,291.30493
eluru,10000295,2025-12-01,11.068857
erode,10000295,2025-12-01,9.696391
faridabad,10000295,2025-12-01,924.75244
farrukhabad,10000295,2025-12-01,12.857486
fatehpur,10000295,2025-12-01,19.403696
firozabad,10000295,2025-12-01,12.976292
firozpur,10000295,2025-12-01,16.511566
gandhidham,10000295,2025-12-01,22.704952
gaya,10000295,2025-12-01,129.18861
ghaziabad,10000295,2025-12-01,1930.6305
goa,10000295,2025-12-01,182.81084
gonda,10000295,2025-12-01,19.695189
gorakhpur,10000295,2025-12-01,257.6792
gulbarga,10000295,2025-12-01,20.720654
guntur,10000295,2025-12-01,13.112855
gurgaon,10000295,2025-12-01,3655.37
guwahati,10000295,2025-12-01,512.0282
gwalior,10000295,2025-12-01,53.830452
haldwani,10000295,2025-12-01,64.97269
hamirpur,10000295,2025-12-01,11.885276
hapur,10000295,2025-12-01,15.080426
haridwar,10000295,2025-12-01,74.59685
hassan,10000295,2025-12-01,11.94159
hazaribagh,10000295,2025-12-01,85.01487
hisar,10000295,2025-12-01,29.97188
hoshiarpur,10000295,2025-12-01,21.306168
hosur,10000295,2025-12-01,13.271651
hubli,10000295,2025-12-01,27.137205
hyderabad,10000295,2025-12-01,1005.3989
indore,10000295,2025-12-01,301.2838
jabalpur,10000295,2025-12-01,70.40875
jaipur,10000295,2025-12-01,639.91327
jalandhar,10000295,2025-12-01,183.39204
jalgaon,10000295,2025-12-01,12.154102
jammu,10000295,2025-12-01,57.66364
jamnagar,10000295,2025-12-01,25.793612
jamshedpur,10000295,2025-12-01,603.7273
jaunpur,10000295,2025-12-01,29.458279
jhansi,10000295,2025-12-01,56.07182
jind,10000295,2025-12-01,10.711758
jodhpur,10000295,2025-12-01,61.441437
kaithal,10000295,2025-12-01,10.711758
kakinada,10000295,2025-12-01,16.315887
