feature,importance
item_city_te,0.519473
lag_1,0.089124136
city_te,0.06474201
rolling_mean_3m,0.060031213
item_te,0.053778414
monthly_mrp_median,0.02539199
comp_price_avg,0.02357325
gc_campaign_type,0.016578743
comp_price_sales_wt,0.014309713
own_mrp_avg,0.013255844
own_estimated_budget_consumed_v2,0.011866342
platform_revenue_log_lag1,0.011133537
own_price_avg,0.010480904
brand_category_share_lag1,0.010038184
own_wt_osa_avg,0.009716122
comp_total_impressions,0.008627611
own_price_sales_wt,0.007757359
month_num,0.0068604453
brand_share_change_lag1,0.0067465436
month_cos,0.00622257
store_count_mom_lag1,0.005998384
month_sin,0.005893563
comp_ad_impressions,0.004697029
category_size_mom_lag1,0.0038818063
platform_revenue_mom_lag1,0.003439482
city_count_mom_lag1,0.0033584884
comp_ad_ratio,0.0030233727
is_intermittent,0.0
