city_norm,item_id,sept_actual_sales
agra,10000197,48.0
ahmedabad,10000197,127.0
ajmer,10000197,7.0
akola,10000197,5.0
aligarh,10000197,14.0
alwar,10000197,6.0
ambala,10000197,12.0
amravati,10000197,2.0
amritsar,10000197,94.0
anand,10000197,3.0
ankleshwar,10000197,10.0
asansol,10000197,4.0
aurangabad,10000197,6.0
ayodhya,10000197,11.0
baddi,10000197,2.0
bahadurgarh,10000197,18.0
ballari,10000197,1.0
barabanki,10000197,3.0
bardhaman,10000197,7.0
bareilly,10000197,25.0
batala,10000197,12.0
bathinda,10000197,13.0
begusarai,10000197,2.0
belgaum,10000197,1.0
bengaluru,10000197,338.0
berhampur,10000197,1.0
bhagalpur,10000197,4.0
bharuch,10000197,3.0
bhavnagar,10000197,2.0
bhiwadi,10000197,9.0
bhiwani,10000197,3.0
bhopal,10000197,50.0
bhubaneswar,10000197,10.0
bidar,10000197,3.0
bijapur,10000197,1.0
bikaner,10000197,5.0
bokaro,10000197,5.0
chandigarh,10000197,125.0
chandrapur,10000197,3.0
chennai,10000197,61.0
chennai,10000197,61.0
coimbatore,10000197,4.0
cuttack,10000197,5.0
darbhanga,10000197,3.0
davanagere,10000197,1.0
dehradun,10000197,80.0
delhi,10000197,1405.0
deoghar,10000197,1.0
deoria,10000197,2.0
dewas,10000197,1.0
dhanbad,10000197,10.0
dharamshala,10000197,2.0
dharwad,10000197,1.0
durg,10000197,2.0
durgapur,10000197,3.0
eluru,10000197,2.0
faridabad,10000197,128.0
farrukhabad,10000197,2.0
fatehpur,10000197,2.0
firozabad,10000197,6.0
firozpur,10000197,4.0
gandhidham,10000197,2.0
ghaziabad,10000197,192.6
gonda,10000197,2.0
gorakhpur,10000197,33.0
gulbarga,10000197,2.0
guntur,10000197,2.0
gurgaon,10000197,501.0
guwahati,10000197,30.0
gwalior,10000197,16.0
haldwani,10000197,12.0
hamirpur,10000197,4.0
hapur,10000197,5.0
haridwar,10000197,20.0
hassan,10000197,3.0
hazaribagh,10000197,3.0
hisar,10000197,16.0
hoshiarpur,10000197,9.0
hosur,10000197,5.0
hyderabad,10000197,256.0
hyderabad,10000197,256.0
indore,10000197,57.0
jabalpur,10000197,14.0
jaipur,10000197,133.0
jalandhar,10000197,86.0
jalgaon,10000197,6.0
jammu,10000197,90.0
jamnagar,10000197,2.0
jamshedpur,10000197,21.0
jaunpur,10000197,2.0
jhansi,10000197,15.0
jind,10000197,1.0
jodhpur,10000197,15.0
junagadh,10000197,1.0
kaithal,10000197,8.0
kakinada,10000197,5.0
kanpur,10000197,115.0
kapurthala,10000197,2.0
karnal,10000197,24.0
khanna,10000197,1.0
kharagpur,10000197,2.0
kharar,10000197,41.0
kochi,10000197,1.0
kolhapur,10000197,2.0
kolkata,10000197,263.0
kolkata,10000197,263.0
kota,10000197,16.0
kotdwar,10000197,2.0
kozhikode,10000197,1.0
kurukshetra,10000197,5.0
lakhimpur,10000197,10.0
latur,10000197,5.0
lucknow,10000197,274.0
ludhiana,10000197,116.0
madurai,10000197,1.0
manali,10000197,1.0
mangaluru,10000197,6.0
manipal,10000197,3.0
mathura,10000197,19.0
meerut,10000197,45.0
mehsana,10000197,1.0
moga,10000197,7.0
mohali,10000197,73.0
moradabad,10000197,15.0
morbi,10000197,1.0
mumbai,10000197,24.0
mumbai,10000197,24.0
